sampleId	popId
pop1.1	pop1
pop1.2	pop1
pop1.3	pop1
pop1.4	pop1
pop1.5	pop1
pop1.6	pop1
pop1.7	pop1
pop1.8	pop1
pop1.9	pop1
pop1.10	pop1
pop2.1	pop2
pop2.2	pop2
pop2.3	pop2
pop2.4	pop2
pop2.5	pop2
pop2.6	pop2
pop2.7	pop2
pop2.8	pop2
pop2.9	pop2
pop2.10	pop2
pop3.1	pop3
pop3.2	pop3
pop3.3	pop3
pop3.4	pop3
pop3.5	pop3
pop3.6	pop3
pop3.7	pop3
pop3.8	pop3
pop3.9	pop3
pop3.10	pop3
pop4.1	pop4
pop4.2	pop4
pop4.3	pop4
pop4.4	pop4
pop4.5	pop4
pop4.6	pop4
pop4.7	pop4
pop4.8	pop4
pop4.9	pop4
pop4.10	pop4
pop5.1	pop5
pop5.2	pop5
pop5.3	pop5
pop5.4	pop5
pop5.5	pop5
pop5.6	pop5
pop5.7	pop5
pop5.8	pop5
pop5.9	pop5
pop5.10	pop5
pop6.1	pop6
pop6.2	pop6
pop6.3	pop6
pop6.4	pop6
pop6.5	pop6
pop6.6	pop6
pop6.7	pop6
pop6.8	pop6
pop6.9	pop6
pop6.10	pop6
pop7.1	pop7
pop7.2	pop7
pop7.3	pop7
pop7.4	pop7
pop7.5	pop7
pop7.6	pop7
pop7.7	pop7
pop7.8	pop7
pop7.9	pop7
pop7.10	pop7
pop8.1	pop8
pop8.2	pop8
pop8.3	pop8
pop8.4	pop8
pop8.5	pop8
pop8.6	pop8
pop8.7	pop8
pop8.8	pop8
pop8.9	pop8
pop8.10	pop8
pop9.1	pop9
pop9.2	pop9
pop9.3	pop9
pop9.4	pop9
pop9.5	pop9
pop9.6	pop9
pop9.7	pop9
pop9.8	pop9
pop9.9	pop9
pop9.10	pop9
pop10.1	pop10
pop10.2	pop10
pop10.3	pop10
pop10.4	pop10
pop10.5	pop10
pop10.6	pop10
pop10.7	pop10
pop10.8	pop10
pop10.9	pop10
pop10.10	pop10
pop11.1	pop11
pop11.2	pop11
pop11.3	pop11
pop11.4	pop11
pop11.5	pop11
pop11.6	pop11
pop11.7	pop11
pop11.8	pop11
pop11.9	pop11
pop11.10	pop11
pop12.1	pop12
pop12.2	pop12
pop12.3	pop12
pop12.4	pop12
pop12.5	pop12
pop12.6	pop12
pop12.7	pop12
pop12.8	pop12
pop12.9	pop12
pop12.10	pop12
pop13.1	pop13
pop13.2	pop13
pop13.3	pop13
pop13.4	pop13
pop13.5	pop13
pop13.6	pop13
pop13.7	pop13
pop13.8	pop13
pop13.9	pop13
pop13.10	pop13
pop14.1	pop14
pop14.2	pop14
pop14.3	pop14
pop14.4	pop14
pop14.5	pop14
pop14.6	pop14
pop14.7	pop14
pop14.8	pop14
pop14.9	pop14
pop14.10	pop14
pop15.1	pop15
pop15.2	pop15
pop15.3	pop15
pop15.4	pop15
pop15.5	pop15
pop15.6	pop15
pop15.7	pop15
pop15.8	pop15
pop15.9	pop15
pop15.10	pop15
pop16.1	pop16
pop16.2	pop16
pop16.3	pop16
pop16.4	pop16
pop16.5	pop16
pop16.6	pop16
pop16.7	pop16
pop16.8	pop16
pop16.9	pop16
pop16.10	pop16
pop17.1	pop17
pop17.2	pop17
pop17.3	pop17
pop17.4	pop17
pop17.5	pop17
pop17.6	pop17
pop17.7	pop17
pop17.8	pop17
pop17.9	pop17
pop17.10	pop17
pop18.1	pop18
pop18.2	pop18
pop18.3	pop18
pop18.4	pop18
pop18.5	pop18
pop18.6	pop18
pop18.7	pop18
pop18.8	pop18
pop18.9	pop18
pop18.10	pop18
pop19.1	pop19
pop19.2	pop19
pop19.3	pop19
pop19.4	pop19
pop19.5	pop19
pop19.6	pop19
pop19.7	pop19
pop19.8	pop19
pop19.9	pop19
pop19.10	pop19
pop20.1	pop20
pop20.2	pop20
pop20.3	pop20
pop20.4	pop20
pop20.5	pop20
pop20.6	pop20
pop20.7	pop20
pop20.8	pop20
pop20.9	pop20
pop20.10	pop20
